firm_name,home_country,industry,provisional_entry_mode,requires_manual_review,evidence_summary,orbis_parent_match,orbis_direct_stakes_pct,reported_action_type,first_reported_exit_date,first_reported_reduction_or_exit_date,timing_left_censored,yale_action_text
AAK,Sweden,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2022-12-24,no,Exited Russia.
AB InBev,Belgium,Consumer Staples,mixed,yes,"Yale text explicitly mentions a joint venture; Yale text explicitly mentions a distribution, license, or franchise arrangement",,,sold,2022-12-24,2022-12-24,yes,sold stake in joint ventures and suspend using its license in Russia
ABB,Switzerland,Industrials,unclassified,yes,strict normalized name match to Orbis parent,ABB LTD,,sold,2023-08-23,2023-08-23,no,Exited Market
AECOM,United States,Industrials,unclassified,yes,strict normalized name match to Orbis parent,AECOM,,sold,2022-12-24,2022-12-24,yes,exit Russia operations
AFRY,Sweden,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
AG Barr,United Kingdom,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,cut ties with Russian market
AP7,Sweden,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,sell off  all of Russian shares
APG,Netherlands,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,sell all Russian investment
AVL,Austria,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,"Stopped on business, initiated divestment process"
Aarsleff,Danish,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Accenture,Ireland,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exiting Russia completely
Accountor,Finland,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdrawal from Russia
Acerinox,Spain,Materials,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,Ceased Operations
Acronis,Switzerland,Information Technology,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,ACRONIS AG,100,suspended,2022-12-24,2022-12-24,yes,suspend operations in Russia
Adenza,United Kingdom,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue all operations in Russia
Aegon,Netherlands,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Sold exposure
AerCap,Ireland,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,cease leasing activity with Russian airlines
Agilent,United States,Information Technology,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Agrokoncernas,Lithuania,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Aimbridge | Interstate Hotels,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Suspended all operations
Air Lease,United States,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Air Liquide,France,Materials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrawal from Russia
Air Products,United States,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,full divestiture from Russia
AirBaltic,Latvia,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,leave Russian market until further notice
Akvelon,United States,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,close offices in Moscow
Alcoa,United States,Materials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,"cease buying raw materials from, or selling our products to, Russian businesses"
Aldi,Germany,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove products from Russia
Allegro,Poland,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,bans Russian & Belarussian products
Allen &amp; Overy,United Kingdom,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,wind down Russian operations
AmRest,Spain,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Amedia,Norway,Communication Services,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
American Airlines,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,end agreements with Russian airlines
Ametek,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,closing TPM Russia subsidiary due to war in Ukraine
Amsted Rail,United States,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,exit Russia completely
Amway,United States,Consumer Staples,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,Ceased operations in Russia
Ansell,Australia,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Arconic,United States,Materials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Exited Russia
Arendt &amp; Medernach,Luxembourg,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,pull out of Russia; close Russian office and suspend select Russian client engagements
Arrival,United Kingdom,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Asda,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,remove products from Russia
Asics,Japan,Consumer Discretionary,unclassified,yes,strict normalized name match to Orbis parent,ASICS CORPORATION,,suspended,2023-08-23,2023-08-23,no,Ceased all business operations in Russia
Aspo,Finland,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Exited Russia Market
Assicurazioni Generali,Italy,Financials,unclassified,yes,strict normalized name match to Orbis parent,ASSICURAZIONI GENERALI SPA,,sold,2022-12-24,2022-12-24,yes,exit Russia completely
Atos,France,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit from Russia
Atria,Finland,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit business in Russia
Autogrill,Italy,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Avantor,United States,Health Care,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,"Discontinued all sales into Russia, direct and indirect"
Avaya,United States,Information Technology,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Left Russia
Avery Dennison,United States,Materials,unclassified,yes,strict normalized name match to Orbis parent,AVERY DENNISON CORPORATION,,other,2022-12-24,2022-12-24,yes,exit Russian operations
Avid,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,"cease all sales and support to all customers, users and resellers in Russia & Belarus"
Aviva,United Kingdom,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Exited all equity and debt positions
BASF SE,Germany,Materials,unclassified,yes,strict normalized name match to Orbis parent,BASF SE,,sold,2022-12-24,2022-12-24,yes,wind down Russian operations
BBDO,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
BSI,United Kingdom,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Badoo,United Kingdom,Industrials,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Baker Botts,United States,Industrials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,wind down Moscow office
Baker Hughes,United States,Energy,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,no longer provide engineering services to Russian LNG developers
Baker McKenzie,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,cease operations in Russia and transfer them to an independent entity
Baker Tilly,United Kingdom,Financials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,gradual wind down of operations in Russia
Bakoma,Poland,Consumer Staples,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia completely prior to aggression
Ball Corporation,United States,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,Fully exited Russia
BaseTrack,Estonia,Information Technology,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Beam Suntory,Japan,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bellona,Norway,NGO,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bentley Systems,United States,Information Technology,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,Ended operations in Russia
Bestseller,Denmark,Consumer Discretionary,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,stop all sales to Russia through distributors
Bet356,United Kingdom,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
BioMar,Danish,Industrials,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,No longer doing business in Russia
BlackRock,United States,Financials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,curtail Russian access to capital markets
Blockchain.com,Luxembourg,Information Technology,unclassified,yes,,,,suspended,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Bolt,Estonia,Information Technology,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Liquidating remaining entity
Bonava,Sweden,Real Estate,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,close operations in Russia
Booking,United States,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,Suspended operations in Russia
Boreo,Finland,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bose,United States,Information Technology,unclassified,yes,,,,suspended,2022-12-24,2022-12-24,yes,stop all product shipments
Boskalis,Netherlands,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian  Arctic LNG 2 project
Breitling SA,Switzerland,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bristol-Myers Squibb,United States,Health Care,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,transfer business and exit completely
British American Tobacco,United Kingdom,Consumer Staples,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations
British Petroleum (BP),United Kingdom,Energy,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Will divest from 20% Rosneft stake
British Standards Institution (BSI),United Kingdom,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate all contractual relations & discontinue services in Russia
Broadridge Financial Solutions,United States,Financials,wholly_owned,yes,strict normalized name match to Orbis parent; Orbis direct-stake category: wholly_owned,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",100,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bruker,United States,Industrials,unclassified,yes,,,,suspended,2023-09-22,2023-09-22,no,Ceased operations in Russia
Brunel,Netherlands,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Bryan Cave,United States,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit Russian operations; local partners and counsel form new firms
Bumble,United States,Communication Services,unclassified,yes,strict normalized name match to Orbis parent,BUMBLE INC.,,other,2022-12-24,2022-12-24,yes,remove apps from app stores
Bunge,United States,Consumer Staples,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Sold Russian Business
CBC,Canada,Communication Services,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Cease all reporting from Russia and all presence
CCC,Poland,Consumer Discretionary,unclassified,yes,,,,sold,2023-08-23,2022-12-24,no,Left Russia. Sold Subsidary
CD Projekt,Poland,Communication Services,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,Halts all sales of products in Russia & Belarus
CERN,Switzerland,NGO,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,Will end cooperation with Russia in 2024
CFA Institute,United States,NGO,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Cease all business in Russia
CMA CGM,France,Industrials,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,Completes Russia Exit
CMS,Germany,Industrials,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,transfer Russian practice to local partners and counsel
CRH,Ireland,Materials,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdrawal from Russia
Cadence,United States,Information Technology,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,terminate operations in Russia
Calrec,United Kingdom,Consumer Discretionary,unclassified,yes,,,,other,2023-08-23,2023-08-23,no,Cease all commercial activity with Russia
Canara,India,Financials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
Canva,Australia,Information Technology,unclassified,yes,,,,sold,2022-12-24,2022-12-24,yes,withdraw from Russia
Cargotec,Finland,Industrials,unclassified,yes,,,,other,2023-08-23,2022-12-24,no,Ramped Down Business
Carlsberg,Denmark,Consumer Staples,unclassified,yes,,,,seized,2022-12-24,2022-12-24,yes,Finalises Russian asset sale to local buyer
Carnival,United States,Consumer Discretionary,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,discontinue Russia itineraries
Caverion,Finland,Industrials,unclassified,yes,,,,sold,2023-08-23,2023-08-23,no,Withdrew from Russia
Centrica,United Kingdom,Utilities,unclassified,yes,,,,other,2022-12-24,2022-12-24,yes,exit gas supply partnership with Gazprom
Chanel,France,Consumer Discretionary,unclassified,yes,,,,suspended,2023-08-23,2022-12-24,no,Stopped selling in Russia and to those with intent to sell in Russia
