snapshot_date,name,country,industry,yale_grade,provisional_state,ambiguous,action_text
2022-12-24,Agrana,Austria,Consumer Staples,F,still_operating,no,continue operating plant in Russia
2022-12-24,Agricultural Bank of China,China,Financials,F,still_operating,no,Russian companies open accounts with the bank; decline to comment
2022-12-24,Aimbridge | Interstate Hotels,United States,Consumer Discretionary,F,still_operating,no,still operating in Russia
2022-12-24,Air China,China,Industrials,F,still_operating,no,still flying to Russia
2022-12-24,Air Serbia,Serbia,Industrials,F,still_operating,no,still flying to Russia
2022-12-24,Alibaba,China,Consumer Discretionary,F,still_operating,no,still operating in Russia
2022-12-24,Align Technology,United States,Health Care,F,still_operating,no,still operating in Russia
2022-12-24,Alpina Žiri,Slovenia,Consumer Discretionary,F,still_operating,no,distributors in Russia
2022-12-24,Alumil,Greece,Materials,F,still_operating,no,Not disclosed publicly
2022-12-24,Anadolu Efes,Turkey,Consumer Staples,F,still_operating,no,still operating in Russia
2022-12-24,ANT Group,China,Information Technology,F,still_operating,no,joint venture with the Russian Sovereign Wealth Fund
2022-12-24,Anta Sports,China,Consumer Discretionary,F,still_operating,no,still operating and providing online sales to Russia
2022-12-24,Antal,United Kingdom,Industrials,F,still_operating,no,still operating and actively hiring in Russia
2022-12-24,AnyDesk Software,Germany,Information Technology,F,still_operating,no,still providing services to Russia; not disclosed publicly
2022-12-24,Ariston Group,Italy,Consumer Discretionary,F,still_operating,no,still operating and actively hiring in Russia
2022-12-24,Asics,Japan,Consumer Discretionary,F,still_operating,no,still operating in Russia; not disclosed publicly
2022-12-24,Auchan-Retail,France,Consumer Staples,F,still_operating,no,still operating in Russia
2022-12-24,AVL,Austria,Industrials,F,still_operating,no,still operating in Russia
2022-12-24,B. Braun,Germany,Health Care,F,still_operating,no,still operating in Russia
2022-12-24,Babolat,France,Consumer Discretionary,F,still_operating,no,still operating and selling to Russia
2022-12-24,Bajaj Auto,India,Consumer Discretionary,F,still_operating,no,business as usual
2022-12-24,Benetton,Italy,Consumer Discretionary,F,still_operating,no,continue operations in Russia
2022-12-24,Bharat Petroleum (BPCL),India,Energy,F,still_operating,no,bought 2 million barrels of Russian Urals for May loading
2022-12-24,Binbit,Mexico,Communication Services,F,still_operating,no,Operating in Russia
2022-12-24,Boggi,Italy,Consumer Discretionary,F,still_operating,no,still operating in Russia & online sales running
2022-12-24,Bonduelle,France,Consumer Staples,F,still_operating,no,still operating in Russia
2022-12-24,BPW,Germany,Consumer Discretionary,F,still_operating,no,still cooperating with dealers in Russia; not disclosed publicly
2022-12-24,Buzzi Unicem,Italy,Materials,F,still_operating,no,continue operating plants in Russia
2022-12-24,Calzedonia,Italy,Consumer Discretionary,F,still_operating,no,continue sales in Russia
