name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,first_grade_a_date,first_grade_ab_date,timing_left_censored,action_text
AAK,Sweden,Consumer Staples,A,B,sold,yes,2023-08-23,2022-12-24,no,Exited Russia.
AB InBev,Belgium,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,sold stake in joint ventures and suspend using its license in Russia
ABB,Switzerland,Industrials,A,C,sold,yes,2023-08-23,2023-08-23,no,Exited Market
AECOM,United States,Industrials,A,A,sold,yes,2022-12-24,2022-12-24,yes,exit Russia operations
AFRY,Sweden,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Fully exit Russia after selling its operations
AG Barr,United Kingdom,Consumer Staples,A,A,sold,yes,2022-12-24,2022-12-24,yes,cut ties with Russian market
AP7,Sweden,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,sell off  all of Russian shares
APG,Netherlands,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,sell all Russian investment
AVL,Austria,Industrials,A,F,suspended,yes,2023-08-23,2023-08-23,no,"Stopped on business, initiated divestment process"
Aarsleff,Danish,Industrials,A,,sold,no,2023-08-23,2023-08-23,no,Withdrew from Russia
Accenture,Ireland,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,exiting Russia completely
Accountor,Finland,Information Technology,A,A,sold,yes,2022-12-24,2022-12-24,yes,withdrawal from Russia
Acerinox,Spain,Materials,A,A,suspended,yes,2022-12-24,2022-12-24,yes,Ceased Operations
Acronis,Switzerland,Information Technology,A,A,suspended,yes,2022-12-24,2022-12-24,yes,suspend operations in Russia
Adenza,United Kingdom,Information Technology,A,A,other,yes,2022-12-24,2022-12-24,yes,discontinue all operations in Russia
Aegon,Netherlands,Financials,A,A,sold,yes,2022-12-24,2022-12-24,yes,Sold exposure
AerCap,Ireland,Industrials,A,A,other,yes,2022-12-24,2022-12-24,yes,cease leasing activity with Russian airlines
Agilent,United States,Information Technology,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
Agrokoncernas,Lithuania,Industrials,A,,suspended,no,2023-08-23,2023-08-23,no,Fully stop all business in Russia
