name,country,industry,grade_latest,action_type,first_grade_a_date,first_grade_ab_date,timing_left_censored,guo_matched,match_quality,n_subsidiaries,sum_assets_th_usd,largest_sub_assets,pre_inv_equity_th_usd,employees_total,emp_intensity,years_in_russia,ln_assets,nace_sector
AAK,Sweden,Consumer Staples,A,sold,2023-08-23,2022-12-24,no,HAAKMAN HOLDING B.V.,100.0,1,484.22,484.22,55.8198251938447,,,5,6.1825,01
AB InBev,Belgium,Consumer Staples,A,sold,2022-12-24,2022-12-24,yes,AB INBEV EFES B.V.,100.0,3,957907.99,835232.89,238969.194312497,3920,0.003994095575569089,18,13.7725,11
ABB,Switzerland,Industrials,A,sold,2023-08-23,2023-08-23,no,ABB LTD,100,1,130755.32,130755.32,16948.5114716673,249,0.0019043201856577315,22,11.7811,46
AECOM,United States,Industrials,A,sold,2022-12-24,2022-12-24,yes,AECOM,100,1,,,,,,22,,71
AFRY,Sweden,Industrials,A,sold,2023-08-23,2023-08-23,no,,,0,,,,,,,,
AG Barr,United Kingdom,Consumer Staples,A,sold,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
AP7,Sweden,Financials,A,sold,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
APG,Netherlands,Financials,A,sold,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
AVL,Austria,Industrials,A,suspended,2023-08-23,2023-08-23,no,ELENI PAPAPAVLOU PASTOU,100.0,3,750.63,527.24,-65.6189167639241,2,0.0018966709466887329,15,6.6209,52
Aarsleff,Danish,Industrials,A,sold,2023-08-23,2023-08-23,no,TARS HOLDING AG,75.0,1,7899.85,7899.85,-4620.8023738442,,,11,8.9746,29
Accenture,Ireland,Information Technology,A,sold,2022-12-24,2022-12-24,yes,CENTURI ANSTALT,80.0,1,0.87,0.87,0.538411624729633,12,13.715557104331866,20,-0.1336,73
Accountor,Finland,Information Technology,A,sold,2022-12-24,2022-12-24,yes,OUN GMBH,100.0,1,10.00,10.00,-4.68418113514781,,,5,2.3027,62
Acerinox,Spain,Materials,A,suspended,2022-12-24,2022-12-24,yes,CENTINOX HOLDING AG,80.0,1,18708.62,18708.62,17594.7938654115,189,0.010102295386729312,7,9.8367,27
Acronis,Switzerland,Information Technology,A,suspended,2022-12-24,2022-12-24,yes,ACRONIS AG,100,2,1337.68,884.00,856.532133201137,2,0.0011312158505031988,19,7.1987,62
Adenza,United Kingdom,Information Technology,A,other,2022-12-24,2022-12-24,yes,BRINKMAN 'S-GRAVENZANDE HOLDING B.V.,83.33333333333334,1,1020.42,1020.42,63.3845085212961,8,0.007839873471235713,4,6.9280,46
Aegon,Netherlands,Financials,A,sold,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
AerCap,Ireland,Industrials,A,other,2022-12-24,2022-12-24,yes,URSIDAE CAPITAL LLC,83.33333333333334,1,5050.06,5050.06,5048.37621840555,,,10,8.5272,68
Agilent,United States,Information Technology,A,suspended,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Agrokoncernas,Lithuania,Industrials,A,suspended,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Aimbridge | Interstate Hotels,United States,Consumer Discretionary,A,suspended,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Air Lease,United States,Industrials,A,suspended,2023-08-23,2023-08-23,no,BASE HOLDING AG,85.71428571428572,1,431.90,431.90,393.188549249433,4,0.009261395703156735,16,6.0682,52
Air Liquide,France,Materials,A,sold,2023-08-23,2023-08-23,no,L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,100.0,1,104.40,104.40,104.398014035076,1,0.009578726274084261,16,4.6482,46
Air Products,United States,Materials,A,sold,2022-12-24,2022-12-24,yes,BOMBARDIER RECREATIONAL PRODUCTS INC.,86.95652173913044,1,40427.98,40427.98,16257.8639600454,5,0.00012367671213883418,8,10.6073,73
AirBaltic,Latvia,Industrials,A,sold,2022-12-24,2022-12-24,yes,IRB HOLDING AG,100.0,2,8552.24,4595.69,-62.4019073061645,5,0.0006527850923637715,18,9.0539,55
Akvelon,United States,Information Technology,A,sold,2022-12-24,2022-12-24,yes,OUN GMBH,80.0,1,10.00,10.00,-4.68418113514781,,,5,2.3027,62
Alcoa,United States,Materials,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Aldi,Germany,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,MR PIERO RINALDI,100.0,1,2073.46,2073.46,-1812.02432302758,13,0.006269702698359355,9,7.6370,46
Allegro,Poland,Consumer Discretionary,A,other,2022-12-24,2022-12-24,yes,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Allen &amp; Overy,United Kingdom,Industrials,A,sold,2023-08-23,2023-08-23,no,CAL GMBH,80.0,1,15040.33,15040.33,3633.76697588153,44,0.002925468341886728,19,9.6185,46
AmRest,Spain,Consumer Discretionary,A,sold,2023-08-23,2023-08-23,no,ESTA GROUP AG,85.71428571428572,1,,,,,,10,,49
Amedia,Norway,Communication Services,A,sold,2023-08-23,2023-08-23,no,AMEDIA NETWORKS LTD,100.0,3,46544.10,37317.65,5771.18036431447,86,0.0005091425083290463,15,10.7482,59
American Airlines,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,ORICA LIMITED,80.0,1,249.47,249.47,241.450693110004,1,0.0040084493893275865,18,5.5194,77
Ametek,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,PAYMETECH CYPRUS LIMITED,83.33333333333334,1,1172.08,1172.08,-568.751119783148,1,0.0008531828264845759,11,7.0665,62
Amsted Rail,United States,Industrials,A,sold,2022-12-24,2022-12-24,yes,AMSTED RAIL - EPK BEARING B.V.,100.0,1,44490.70,44490.70,30481.8376268027,336,0.007552139704623737,14,10.7030,28
Amway,United States,Consumer Staples,A,suspended,2023-08-23,2022-12-24,no,,,0,,,,,,,,
Ansell,Australia,Industrials,A,sold,2023-08-23,2023-08-23,no,SHELL PLC,88.88888888888889,1,1455.21,1455.21,593.948783820495,2,0.0013743763535958016,17,7.2829,70
Arconic,United States,Materials,A,sold,2023-08-23,2023-08-23,no,ARC HOLDINGS,100.0,1,991.24,991.24,537.200198573992,15,0.015132519686143295,17,6.8990,70
Arendt &amp; Medernach,Luxembourg,Industrials,A,suspended,2023-08-23,2023-08-23,no,MEYER INTERNATIONAL HOLDINGS LIMITED,80.0,1,3059.79,3059.79,-704.700055027381,6,0.0019609167952260474,8,8.0261,46
Arrival,United Kingdom,Consumer Discretionary,A,sold,2023-08-23,2023-08-23,no,ROCA CORPORACION EMPRESARIAL SA,83.33333333333334,1,29284.92,29284.92,20279.3815277666,631,0.02154692463343848,20,10.2848,31
Asda,United Kingdom,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,"NASDAQ, INC.",100.0,1,1873.35,1873.35,1386.31571164448,31,0.016547900718771345,8,7.5355,62
Asics,Japan,Consumer Discretionary,A,suspended,2023-08-23,2023-08-23,no,ASICS CORPORATION,100,1,17164.01,17164.01,8282.96481571253,292,0.01701234080352713,14,9.7506,46
Aspo,Finland,Industrials,A,sold,2023-08-23,2023-08-23,no,,,0,,,,,,,,
Assicurazioni Generali,Italy,Financials,A,sold,2022-12-24,2022-12-24,yes,ASSICURAZIONI GENERALI SPA,100,1,14858.94,14858.94,14727.1462506484,4,0.0002691982798647269,20,9.6064,73
Atos,France,Information Technology,A,other,2022-12-24,2022-12-24,yes,LOURO KHOSE DE MATOS,100.0,1,177.53,177.53,82.269296258688,72,0.40557034427852284,13,5.1791,50
Atria,Finland,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
Autogrill,Italy,Consumer Discretionary,A,sold,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Avantor,United States,Health Care,A,other,2023-08-23,2023-08-23,no,SANTO HOLDING AG,80.0,1,108.33,108.33,88.6898548835889,78,0.7200326635909823,1,4.6852,46
Avaya,United States,Information Technology,A,other,2023-08-23,2023-08-23,no,AVAYA INTERNATIONAL ENTERPRISES LIMITED,100.0,1,19438.21,19438.21,16611.6542386552,2,0.00010289014515020957,17,9.8750,73
Avery Dennison,United States,Materials,A,other,2022-12-24,2022-12-24,yes,AVERY DENNISON CORPORATION,100,1,1678.26,1678.26,1657.39250440523,30,0.017875700016473373,15,7.4255,46
Avid,United States,Information Technology,A,other,2022-12-24,2022-12-24,yes,MR DAVID JOHN EVANS,100.0,1,444.20,444.20,254.991745471954,20,0.04502445439944096,15,6.0963,52
Aviva,United Kingdom,Financials,A,sold,2022-12-24,2022-12-24,yes,ALMAVIVA TECHNOLOGIES S.R.L.,100.0,1,,,,35,,1,,79
BASF SE,Germany,Materials,A,sold,2022-12-24,2022-12-24,yes,BASF SE,100,3,20787.31,7575.55,5731.93015687168,231,0.00013200369039794742,15,9.9421,46
BBDO,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,,,0,,,,,,,,
BSI,United Kingdom,Industrials,A,suspended,2023-08-23,2023-08-23,no,,,0,,,,,,,,
Badoo,United Kingdom,Industrials,A,suspended,2023-08-23,2023-08-23,no,,,0,,,,,,,,
Baker Botts,United States,Industrials,A,sold,2022-12-24,2022-12-24,yes,BO HOLDING AG,100.0,1,2751.30,2751.30,-82.2289153868333,16,0.0058154393359561045,13,7.9198,46
Baker Hughes,United States,Energy,A,other,2023-08-23,2022-12-24,no,BAKER HUGHES COMPANY,100.0,6,252086.93,189279.08,116409.560113785,985,,15,12.4375,09
Baker McKenzie,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,B.S.A.,80.0,1,,,,1,,,,64
Baker Tilly,United Kingdom,Financials,A,sold,2022-12-24,2022-12-24,yes,FLY GROUP LIMITED,80.0,2,,,,,,17,,68
Bakoma,Poland,Consumer Staples,A,sold,2022-12-24,2022-12-24,yes,KOMPANIYA BEKKER AKROMA GRUP AKTYIEBOLAG,83.33333333333334,1,5192.87,5192.87,4463.47274988052,,,19,8.5550,46
Ball Corporation,United States,Materials,A,sold,2022-12-24,2022-12-24,yes,BALLU FAMILY,100.0,2,10394.24,5332.16,923.174032052048,55,0.007126568479094034,11,9.2490,28
BaseTrack,Estonia,Information Technology,A,sold,2023-08-23,2023-08-23,no,BASE HOLDING AG,100.0,1,431.90,431.90,393.188549249433,4,0.009261395703156735,16,6.0682,52
Beam Suntory,Japan,Consumer Staples,A,sold,2023-08-23,2023-08-23,no,BEAM HOLDINGS LIMITED,100.0,2,13207.76,13078.88,-12051.1327934172,3,7.645914738201414e-05,2,9.4886,68
Bellona,Norway,NGO,A,sold,2023-08-23,2023-08-23,no,LONZA GROUP AG,88.88888888888889,1,8905.68,8905.68,6603.24168917164,3,0.000336863731088852,9,9.0944,46
Bentley Systems,United States,Information Technology,A,other,2023-08-23,2022-12-24,no,MMS HOLDING LLC,80.0,1,6935.95,6935.95,-940.457045205869,35,0.005046170184484302,12,8.8445,25
Bestseller,Denmark,Consumer Discretionary,A,suspended,2022-12-24,2022-12-24,yes,SHELL PLC,80.0,1,1455.21,1455.21,593.948783820495,2,0.0013743763535958016,17,7.2829,70
Bet356,United Kingdom,Consumer Discretionary,A,suspended,2023-08-23,2023-08-23,no,,,0,,,,,,,,
BioMar,Danish,Industrials,A,other,2023-08-23,2023-08-23,no,BIOMARIN PHARMACEUTICAL INC,100.0,1,2285.61,2285.61,1261.05424715113,7,0.003062638140871725,11,7.7344,73
BlackRock,United States,Financials,A,other,2022-12-24,2022-12-24,yes,"CROCS, INC.",80.0,1,11458.42,11458.42,5240.96605657134,3,0.00026181614769521576,14,9.3465,46
Blockchain.com,Luxembourg,Information Technology,A,suspended,2023-08-23,2023-08-23,no,ANACOM,83.33333333333334,2,67686.96,35240.31,6638.56149175391,18,0.00019863618604701872,22,11.1226,68
Bolt,Estonia,Information Technology,A,other,2023-08-23,2023-08-23,no,THUNDERBOLT PRIVATSTIFTUNG,100.0,2,7395.84,3719.37,2826.82255331799,6,0.0013443120884655887,4,8.9087,68
Bonava,Sweden,Real Estate,A,sold,2022-12-24,2022-12-24,yes,BO HOLDING AG,100.0,1,2751.30,2751.30,-82.2289153868333,16,0.0058154393359561045,13,7.9198,46
Booking,United States,Consumer Discretionary,A,suspended,2023-08-23,2022-12-24,no,BOOKING HOLDINGS INC.,100,2,5970.04,5317.68,5019.39621270448,3,0.000564156194807405,13,8.6945,73
Boreo,Finland,Industrials,A,sold,2023-08-23,2023-08-23,no,BO HOLDING AG,100.0,1,2751.30,2751.30,-82.2289153868333,16,0.0058154393359561045,13,7.9198,46
Bose,United States,Information Technology,A,suspended,2022-12-24,2022-12-24,yes,BO HOLDING AG,100.0,1,2751.30,2751.30,-82.2289153868333,16,0.0058154393359561045,13,7.9198,46
Boskalis,Netherlands,Industrials,A,other,2022-12-24,2022-12-24,yes,ALI GROUP LLC,100.0,1,3584.65,3584.65,730.382289526984,16,0.004463475743612824,15,8.1844,46
Breitling SA,Switzerland,Consumer Discretionary,A,sold,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
Bristol-Myers Squibb,United States,Health Care,A,sold,2023-08-23,2023-08-23,no,MEYER INTERNATIONAL HOLDINGS LIMITED,80.0,1,3059.79,3059.79,-704.700055027381,6,0.0019609167952260474,8,8.0261,46
British American Tobacco,United Kingdom,Consumer Staples,A,other,2022-12-24,2022-12-24,yes,ACCOR,88.88888888888889,6,27641.08,23995.97,13748.5696624117,292,0.002042009582031575,21,10.2271,55
British Petroleum (BP),United Kingdom,Energy,A,sold,2023-08-23,2023-08-23,no,RETIS HOLDING GMBH,80.0,1,79194.80,79194.80,65806.9435635703,173,0.00218448674003873,22,11.2797,17
British Standards Institution (BSI),United Kingdom,Industrials,A,other,2022-12-24,2022-12-24,yes,RETIS HOLDING GMBH,80.0,1,79194.80,79194.80,65806.9435635703,173,0.00218448674003873,22,11.2797,17
Broadridge Financial Solutions,United States,Financials,A,sold,2023-08-23,2023-08-23,no,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",100,1,3926.22,3926.22,1069.77005717531,49,0.012480201338096682,10,8.2754,62
Bruker,United States,Industrials,A,suspended,2023-09-22,2023-09-22,no,INTERBUNKER GROUP LTD,83.33333333333334,3,56203.27,46751.74,15611.9180735666,197,2.1389580475384748e-05,18,10.9367,68
Brunel,Netherlands,Industrials,A,sold,2023-08-23,2023-08-23,no,MR MAKSIM BRUNELEN,100.0,1,10.01,10.01,7.08011286519468,1,0.09985564648091057,3,2.3040,70
Bryan Cave,United States,Industrials,A,other,2022-12-24,2022-12-24,yes,ANCS HOLDING LIMITED,75.0,2,,,,,,14,,46
Bumble,United States,Communication Services,A,other,2022-12-24,2022-12-24,yes,BUMBLE INC.,100,1,4521.93,4521.93,3725.56615789793,71,0.015701257552426982,14,8.4167,62
Bunge,United States,Consumer Staples,A,sold,2023-08-23,2023-08-23,no,G HOLDINGS INC.,100.0,2,34627.06,26139.56,19256.9647729862,271,0.006694833083320577,18,10.4524,23
CBC,Canada,Communication Services,A,other,2023-08-23,2023-08-23,no,,,0,,,,,,,,
CCC,Poland,Consumer Discretionary,A,sold,2023-08-23,2022-12-24,no,,,0,,,,,,,,
