subsidiary_name,inactive,nace_code,nace_sector,guo_name,guo_country,guo_direct_pct,guo_total_pct,incorp_year,years_in_russia,total_assets_th_usd,total_assets_year,pre_inv_assets_th_usd,pre_inv_equity_th_usd,shareholders_funds_th_usd,revenue_th_usd,employees,costs_employees_th_usd,emp_intensity,ln_assets
ALBION-2002,No,4725,47,MERCURY RETAIL GROUP LIMITED,CY,,100.0,2002,20,957088.410759877,2023,576617.380921901,23403.3265361916,527.984119167551,3102552.19118955,166.0,,0.00028788587630604844,13.264934207543954
LIMITED LIABILITY COMPANY NESTLE ROSSIYA,No,1082,10,NESTLE S.A.,CH,,,2006,16,1189955.61915594,2021,1189955.61915594,360198.171101271,360198.171101271,2551696.56863201,5903.0,,0.004960689209726258,13.989426569565302
LA SOCIETE A RESPONSABILITE LIMITEE AUCHAN,No,4719,47,MULLIEZ FAMILY,FR,,,2001,21,1403959.83513571,2023,1697923.01431076,850806.219794172,762318.153213145,2519843.34426497,26875.0,,0.015828161685475125,14.344916305785985
LIMITED LIABILITY COMPANY AGROASPECT,No,4720,47,X5 RETAIL GROUP N.V.,NL,,100.0,2001,21,1042332.68107413,2023,580305.675535077,101832.523024111,206627.567327071,2715161.78923415,1371.0,,0.002362547977384255,13.271310270477377
GESELLSCHAFT MIT BESCHRANKTER HAFTUNG HYPERGLOBUS,No,4710,47,BRUCH BETEILIGUNGS-GMBH,DE,,,2004,18,1036200.43218945,2023,1093926.02932171,416134.441269254,447239.710971263,1598930.08531549,733.0,,0.0006700635878044674,13.905283644798468
JSC AB INBEV EFES,No,1105,11,AB INBEV EFES B.V.,NL,99.98,,2004,18,1238583.99015825,2023,835232.892373808,238969.194312497,585398.997035493,1211263.58269821,3336.0,,0.003994095575569089,13.63546587796651
PROCTER & GAMBLE DISTRIBUTION COMPANY,No,4640,46,THE PROCTER & GAMBLE COMPANY,US,,,2006,16,482755.490292764,2023,575084.321121937,55460.6238784064,169123.379341888,1180655.18797547,534.0,,0.0009285594831697284,13.262271954457553
LIMITED LIABILITY COMPANY ASTRAZENECA PHARMACEUTICALS,No,4646,46,ASTRAZENECA PLC,GB,,,2005,17,679073.02874859,2023,437809.506870936,81250.567623537,69905.0460890448,752424.410507235,2593.0,,0.0059226671858553384,12.989539178935487
LIMITED LIABILITY COMPANY AGRO-AVTO,No,4940,49,X5 RETAIL GROUP N.V.,NL,,100.0,2001,21,764175.273854628,2023,385078.697231362,3999.17348529492,320805.766531895,608389.687194445,192.0,,0.0004985993808030441,12.86120300077452
"RUSAGRO GROUP OF COMPANIES, LLC",No,0111,01,ROS AGRO PLC,CY,,99.99,2003,19,2687310.72172074,2023,2748048.36958153,1054792.54951916,1308603.90072328,793427.583167607,415.0,,0.00015101626470395636,14.826401533909472
JSC BOGUCHANSK ALUMINIUM SMELTER,No,2442,24,BALP LIMITED,CY,100.0,100.0,2006,16,1512472.25854336,2021,1512472.25854336,-731576.109622497,-731576.109622497,705331.409958829,183.0,,0.00012099395474284244,14.229256127259992
HOME INTERIOR LLC,No,4759,47,KRESORCO ENTERPRISES LIMITED,CY,100.0,100.0,2007,15,363685.661051841,2023,199731.101131263,7942.97133498639,15618.0342704849,745350.979812122,6337.0,,0.03172765765625721,12.204727246543019
LIMITED LIABILITY COMPANY ABBOTT LABORATORIES,No,4646,46,ABBOTT LABORATORIES,US,,,2007,15,955445.509801664,2023,957569.233811454,447606.660159166,466952.693914776,616096.132426484,752.0,,0.0007853218059301906,13.772153304275617
LLC VITA-LINE,No,4646,46,NIKSAY HOLDINGS LIMITED,CY,100.0,100.0,2006,16,447204.121046265,2023,433942.176932246,145758.122032275,200853.637182893,589094.640575697,1184.0,,0.0027284741215299405,12.980666571331245
JOHNSON & JOHNSON LIMITED LIABILITY COMPANY,No,4646,46,JOHNSON & JOHNSON,US,,,2002,20,891654.728089459,2023,889248.702117543,584846.975685312,601219.69987324,768412.191987244,1594.0,,0.0017925244042574957,13.698132230284804
JOINT STOCK COMPANY MULTON,No,1039,10,ADELINK LIMITED,CY,100.0,100.0,2001,21,378958.7228037,2023,255153.686228382,165380.547155838,318960.029760532,520237.958611939,1238.0,,0.0048519777170371575,12.449621333686922
NOVARTIS PHARMA LIMITED LIABILITY COMPANY,No,4646,46,NOVARTIS AG,CH,,,2006,16,398119.470974263,2023,400286.295095338,12758.5249065682,33569.3939746488,617019.485825242,7867.0,,0.019653433296101933,12.899935307810363
HOCHLAND RUSSLAND OOO,No,1051,10,HOCHLAND HOLDING GMBH & CO. KG,DE,,100.0,2000,22,259053.556100091,2023,198952.665604229,145403.376073032,188895.333185563,493854.484916774,404.0,,0.0020306337629256294,12.200822214127866
SDS,No,4636,46,SUCRES ET DENREES,FR,100.0,100.0,2002,20,122002.909579238,2023,182946.939808045,28271.6848278688,36578.0694544083,450267.552829805,1628.0,,0.008898755025408791,12.116951443376847
LIMITED LIABILITY COMPANY BACARDI RUS,No,4634,46,BACARDI-MARTINI B.V.,NL,,,2001,21,207953.392380801,2023,,,167470.220635869,424888.858981474,1422.0,,,
LIMITED LIABILITY COMPANY MAREVEN FOOD CENTRAL,No,1073,10,SUMMER SKY FOUNDATION,GB,,,2006,16,181813.183404814,2023,112188.332214161,33923.4051129464,115084.382025731,317905.644783271,4319.0,,0.03849776456035803,11.627934275702167
JOINT STOCK COMPANY ROUST RUSSIA,No,4634,46,ROUST CORPORATION,US,,,2003,19,773460.159432012,2021,773460.159432012,151343.429243443,151343.429243443,406633.925865669,785.0,,0.0010149197608012056,13.558629440793506
LIMITED LIABILITY COMPANY RUSAGRO-SARATOV,No,1042,10,ROS AGRO PLC,CY,,100.0,2020,2,168702.845130995,2023,222114.326082661,174494.038823277,-29731.9036218412,458901.878249307,638.0,,0.0028723946413189263,12.310947510650841
LLC BARRY CALLEBAUT NL RUSSIA,No,1082,10,BARRY CALLEBAUT AG,CH,100.0,100.0,2006,16,215729.133159164,2023,172622.264270195,132189.354931942,188864.27004927,346923.464211336,686.0,,0.003973994912534842,12.058861042766726
LIMITED LIABILITY COMPANY IDS BORJOMI,No,1107,11,RISSA INVESTMENTS LIMITED,CY,,,2006,16,108685.509746161,2023,73549.1008228231,-14921.7820529882,7238.9149265755,303144.589593399,168.0,,0.0022841883601637148,11.205708500568356
LIMITED LIABILITY COMPANY ASTRAZENECA INDUSTRIES,No,2120,21,ASTRAZENECA PLC,GB,,,2010,12,517940.802889004,2023,352121.20257318,124329.312447455,165317.832953718,284208.909789384,1176.0,,0.0033397591267046644,12.771730720805804
LIMITED LIABILITY COMPANY RTSB-RUS,No,5229,52,RTSB GMBH RAIL TRANSPORTATION SERVICE BROKER,DE,100.0,100.0,2021,1,23715.2327956008,2023,18879.2017167853,7388.23237773683,13384.8110757275,144444.620685196,1222.0,,0.06472731306819676,9.845816156855653
JOINT STOCK COMPANY ELECTROSNABSBYT,No,4660,46,SPINSIA LIMITED,VG,,,2010,12,237833.364362285,2023,255714.657300188,59253.1953630019,78798.6806832626,323030.025347047,54.0,,0.00021117287749606168,12.451817481889796
PFAIZER INNOVATSII,No,4646,46,PFIZER INC,US,,,2015,7,256686.413547828,2023,291981.768215583,59411.1922542788,54033.9353406094,342095.710954785,241.0,,0.0008253940013886726,12.584446641683243
SOCIETA RESPONSABILITA LIMITATA CALZRU,No,4771,47,MR SANDRO VERONESI,IT,,,2003,19,242732.353217463,2023,125361.20524683,18113.6207672916,18342.8823283259,327893.859116536,2329.0,,0.01857831532023256,11.738954491269183
LIMITED LIABILITY COMPANY PIRELLI TYRE RUSSIA,No,2211,22,PIRELLI & C. SPA,IT,,,2011,11,224018.2965147,2023,287271.958687098,101911.454168296,121544.209856668,295558.037363713,83.0,,0.0002889248236386523,12.56818463730484
RUSAGRO-BALAKOVO,No,1041,10,ROS AGRO PLC,CY,,100.0,2020,2,338385.149081359,2023,434151.955561532,90901.9055834999,-6518.78758137394,200008.956249923,290.0,,0.0006679688903506472,12.981149879823993
LIMITED COMPANY MARR RUSSIA,No,1013,10,CREMOFIN S.R.L.,IT,,,2001,21,142417.187980946,2023,123846.074553969,80502.1081637098,78097.9873102643,293749.707922666,173.0,,0.0013968953042965521,11.72679473925145
