name,country,industry,grade,action_type,exiter,clean_exit,exit_mode,event_date,event_month,timing_left_censored,nace_sector,b2c,sanctions_coalition,wgi_rule_of_law,legal_origin,pat_pctile,lab_pctile,pat_pctile_sector,lab_pctile_sector,alpha,alpha_sq,alpha_emp_pctile,alpha_pat_pctile,emp_intensity_raw,patent_count,patent_intensity_raw,y_exit_payoff,deal_value_mn_usd,deal_status,has_deal,pre_inv_equity_th_usd,sum_assets_th_usd,ln_assets,years_in_russia,employees_total,n_subsidiaries,sanctions_exposure,sanction_hit_dates,guo_matched,y_sub_inactive,sub_inactivation_rate,y_grade_a_sold,y_suspended
AAK,Sweden,Consumer Staples,A,sold,1,1,sold,2023-08-23,18,no,01,0,1,1.8,scandinavian,0.639911,,0.809524,,,,,,,796,1.643881,,,,0,55.82,484.22,6.1825,5,,1,0,,HAAKMAN HOLDING B.V.,0,0.0000,1,0
AB InBev,Belgium,Consumer Staples,A,sold,1,1,sold,2022-12-24,10,yes,11,0,1,1.3,french,0.395764,0.423636,0.500000,0.379310,0.579030,0.335275,0.406780,0.255650,0.003994,19,0.000020,,,,0,238969.19,957907.99,13.7725,18,3920,3,0,,AB INBEV EFES B.V.,0,0.0000,1,0
ABB,Switzerland,Industrials,A,sold,1,1,sold,2025-09-25,43,no,46,0,1,1.8,german,0.963211,0.309091,0.983471,0.325260,0.221440,0.049036,0.310734,0.805085,0.001904,106188,0.812112,,,Proposed,1,16948.51,130755.32,11.7811,22,249,1,0,,ABB LTD,0,0.0000,1,0
AECOM,United States,Industrials,A,sold,1,1,sold,2022-12-24,10,yes,71,0,1,1.4,english,0.659978,,0.657025,,,,,,,986,,,,,0,,,,22,,1,0,,AECOM,0,0.0000,1,0
AG Barr,United Kingdom,Consumer Staples,A,sold,1,1,sold,2022-12-24,10,yes,23,0,1,1.5,english,0.000000,0.545455,0.000000,0.560345,0.783255,0.613489,0.519774,0.000000,0.006695,0,0.000000,,,,0,19256.96,34627.06,10.4524,18,271,2,0,,G HOLDINGS INC.,0,0.0000,1,0
APG,Netherlands,Financials,A,sold,1,1,sold,2022-03-02,1,yes,23,0,1,1.8,french,0.629877,0.546364,0.907692,0.513514,0.493740,0.243779,0.521186,0.524011,0.006695,697,0.020129,,,Withdrawn,1,19256.96,34627.06,10.4524,18,271,2,0,,G HOLDINGS INC.,0,0.0000,1,0
AVL,Austria,Industrials,A,suspended,1,1,walked,2023-08-23,18,no,52,0,1,1.8,german,0.875139,0.307273,0.876033,0.321799,0.147105,0.021640,0.307910,0.936441,0.001897,14859,19.795372,,,,0,-65.62,750.63,6.6209,15,2,3,0,,ELENI PAPAPAVLOU PASTOU,0,0.0000,0,1
Aarsleff,Danish,Industrials,A,sold,1,1,sold,2023-08-23,18,no,29,0,1,1.9,scandinavian,0.539576,,0.537190,,,,,,,186,0.023545,,,,0,-4620.80,7899.85,8.9746,11,,1,0,,TARS HOLDING AG,1,1.0000,1,0
Accenture,Ireland,Information Technology,A,sold,1,1,sold,2022-12-24,10,yes,73,0,1,1.4,english,0.879599,0.997273,0.780303,0.992188,0.495305,0.245327,0.995763,0.995763,13.715557,15642,17979.310345,,,,0,0.54,0.87,-0.1336,20,12,1,0,,CENTURI ANSTALT,0,0.0000,1,0
Accountor,Finland,Information Technology,A,sold,1,1,sold,2022-12-24,10,yes,62,0,1,2.0,scandinavian,0.001115,,0.000000,,,,,,,0,0.000000,,,,0,-4.68,10.00,2.3027,5,,1,4,2022-04-08;2022-06-03;2022-07-21;2022-10-06,OUN GMBH,0,0.0000,1,0
Acerinox,Spain,Materials,A,suspended,1,1,walked,2022-12-24,10,yes,27,0,1,0.9,french,0.470457,0.818182,0.288889,0.765625,0.692488,0.479540,0.803672,0.447740,0.010102,66,0.003528,,,,0,17594.79,18708.62,9.8367,7,189,1,0,,CENTINOX HOLDING AG,0,0.0000,0,1
Acronis,Switzerland,Information Technology,A,suspended,1,1,walked,2022-12-24,10,yes,62,0,1,1.8,german,0.638796,0.230909,0.424242,0.218750,0.194836,0.037961,0.241525,0.783898,0.001131,779,0.582352,,,,0,856.53,1337.68,7.1987,19,2,2,4,2022-04-08;2022-06-03;2022-07-21;2022-10-06,ACRONIS AG,0,0.0000,0,1
Adenza,United Kingdom,Information Technology,A,other,1,1,walked,2022-12-24,10,yes,46,0,1,1.5,english,0.002230,0.767273,0.007576,0.710938,0.906886,0.822442,0.744350,0.001412,0.007840,0,0.000000,,,,0,63.38,1020.42,6.9280,4,8,1,0,,BRINKMAN 'S-GRAVENZANDE HOLDING B.V.,0,0.0000,0,0
