Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
AST,4/5/2019,Antipinsky Oil Refinery and oil fields/New Stream Group,State Oil Co of the Azerbaijan Republic,New Stream Group OOO,3000,Undisclosed, ,Withdrawn
AST,8/16/2019,"Brooklyn Nets,Barclays Center",Private Investor,Gruppa Oneksim OOO,2350,Cash, ,Completed
AST,11/24/2022,Anchor Business/ Russia,Private Investor,VEON Ltd,2142.4,Cash, ,Completed
AST,12/4/2018,Azeri Chirag Gunashli project,Potential Buyer,Exxon Mobil Corp,2000,Cash, ,Withdrawn
AST,5/19/2022,Sakhalin-II oil & gas project,DSV A/S,Shell PLC,1520.59,Cash, ,Withdrawn
AST,1/28/2020,Elga Coal Project,A-Properti OOO,Mechel PJSC,1426.67,Cash, ,Completed
AST,10/4/2018,Achimov development,OMV AG,Gazprom PJSC,1041.11,Cash, ,Terminated
AST,9/6/2021,Mobile network towers/Russia,Rostelecom PJSC,VEON Ltd,967.91,Cash, ,Completed
AST,8/20/2021,National Tower Co,Private Investor,VEON Ltd,957,Cash, ,Completed
AST,9/21/2023,Syktyvkarsky Forestry Enterprise JSC,Sezar Group OOO,Mondi PLC,834.4,Cash, ,Completed
AST,5/4/2023,Russian business activities/Henkel AG & Co KGaA,Private Investor,Henkel AG & Co KGaA,690.66,Cash, ,Completed
AST,8/2/2018,Baimskaya Copper Deposit/Chukota,KAZ Minerals PLC,,675.26,Cash and Stock, ,Completed
AST,11/5/2019,Portfolio of approx 20 select OTC & prescription pharmaceutical assets,STADA Arzneimittel AG,Takeda Pharmaceutical Co Ltd,660,Cash, ,Completed
AST,1/19/2022,Yakutia gas project,Zhejiang Provincial Energy Group Co Ltd,A-Properti OOO,567.2,Cash, ,Pending
AST,10/18/2018,Power assets/Southern Russia,Inter RAO UES PJSC,LUKOIL PJSC,532.35,Cash, ,Withdrawn
AST,9/22/2022,Beverage packaging unit/Russia,DKK Zao,Ball Corp,530,Cash, ,Completed
AST,5/28/2024,US Midwest assets/Novolipetsk Steel PJSC,Cleveland-Cliffs Inc,Novolipetskiy Metallurgicheskiy Kombinat PAO,500,Cash, ,Withdrawn
