name,country,industry,grade_latest,action_type,filings_searched,filing_dates,writedown_usd_mn,sale_price_usd_mn,all_amounts_mn,filing_urls,edgar_search_url,status
3M,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=3M%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
ADP,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=ADP%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
AECOM,United States,Industrials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=AECOM%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
AICPA,United States,Industrials,B,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=AICPA%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
AM Best,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=AM%20Best%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
AMD,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=AMD%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Agilent,United States,Information Technology,A,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Agilent%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Aimbridge | Interstate Hotels,United States,Consumer Discretionary,A,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Aimbridge%20%7C%20Interstate%20Hotels%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_efts_results
Air Lease,United States,Industrials,A,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Air%20Lease%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Air Products,United States,Materials,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Air%20Products%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Airbnb,United States,Consumer Discretionary,B,other,0,,,,,,https://www.sec.gov/edgar/search/#/q=Airbnb%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Akamai,United States,Information Technology,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Akamai%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Akin Gump,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Akin%20Gump%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
Akvelon,United States,Information Technology,A,sold,0,,,,,,https://www.sec.gov/edgar/search/#/q=Akvelon%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_efts_results
Alaska Airlines,United States,Industrials,B,suspended,0,,,,,,https://www.sec.gov/edgar/search/#/q=Alaska%20Airlines%20Russia%20impairment%20write&dateRange=custom&category=custom&startdt=2022-01-01&enddt=2024-12-31&forms=10-K%2C20-F,no_cik_in_hits
