name,country,industry,grade_latest,action_type,action_text,writedown_usd_mn,sale_price_usd_mn,book_value_pre_usd_mn,exit_year,exit_quarter,data_source,notes
AAK,Sweden,Consumer Staples,A,sold,Exited Russia.,,,,,,,
AB InBev,Belgium,Consumer Staples,A,sold,sold stake in joint ventures and suspend using its license in Russia,,,,,,,
ABB,Switzerland,Industrials,A,sold,Exited Market,,,,,,,
AECOM,United States,Industrials,A,sold,exit Russia operations,,,,,,,
AFRY,Sweden,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
AG Barr,United Kingdom,Consumer Staples,A,sold,cut ties with Russian market,,,,,,,
AP7,Sweden,Financials,A,sold,sell off  all of Russian shares,,,,,,,
APG,Netherlands,Financials,A,sold,sell all Russian investment,,,,,,,
AVL,Austria,Industrials,A,suspended,"Stopped on business, initiated divestment process",,,,,,,
Aarsleff,Danish,Industrials,A,sold,Withdrew from Russia,,,,,,,
Accenture,Ireland,Information Technology,A,sold,exiting Russia completely,,,,,,,
Accountor,Finland,Information Technology,A,sold,withdrawal from Russia,,,,,,,
Acerinox,Spain,Materials,A,suspended,Ceased Operations,,,,,,,
Acronis,Switzerland,Information Technology,A,suspended,suspend operations in Russia,,,,,,,
Adenza,United Kingdom,Information Technology,A,other,discontinue all operations in Russia,,,,,,,
Aegon,Netherlands,Financials,A,sold,Sold exposure,,,,,,,
AerCap,Ireland,Industrials,A,other,cease leasing activity with Russian airlines,,,,,,,
Agilent,United States,Information Technology,A,suspended,Fully stop all business in Russia,,,,,,,
Agrokoncernas,Lithuania,Industrials,A,suspended,Fully stop all business in Russia,,,,,,,
Aimbridge | Interstate Hotels,United States,Consumer Discretionary,A,suspended,Suspended all operations,,,,,,,
Air Lease,United States,Industrials,A,suspended,Fully stop all business in Russia,,,,,,,
Air Liquide,France,Materials,A,sold,Withdrawal from Russia,,,,,,,
Air Products,United States,Materials,A,sold,full divestiture from Russia,,,,,,,
AirBaltic,Latvia,Industrials,A,sold,leave Russian market until further notice,,,,,,,
Akvelon,United States,Information Technology,A,sold,close offices in Moscow,,,,,,,
Alcoa,United States,Materials,A,other,"cease buying raw materials from, or selling our products to, Russian businesses",,,,,,,
Aldi,Germany,Consumer Staples,A,other,remove products from Russia,,,,,,,
Allegro,Poland,Consumer Discretionary,A,other,bans Russian &amp; Belarussian products,,,,,,,
Allen &amp; Overy,United Kingdom,Industrials,A,sold,wind down Russian operations,,,,,,,
AmRest,Spain,Consumer Discretionary,A,sold,Fully exit Russia after selling its operations,,,,,,,
Amedia,Norway,Communication Services,A,sold,Fully exit Russia after selling its operations,,,,,,,
American Airlines,United States,Industrials,A,other,end agreements with Russian airlines,,,,,,,
Ametek,United States,Industrials,A,other,closing TPM Russia subsidiary due to war in Ukraine,,,,,,,
Amsted Rail,United States,Industrials,A,sold,exit Russia completely,,,,,,,
Amway,United States,Consumer Staples,A,suspended,Ceased operations in Russia,,,,,,,
Ansell,Australia,Industrials,A,sold,Fully exit Russia after selling its operations,,,,,,,
Arconic,United States,Materials,A,sold,Exited Russia,,,,,,,
Arendt &amp; Medernach,Luxembourg,Industrials,A,suspended,pull out of Russia; close Russian office and suspend select Russian client engagements,,,,,,,
Arrival,United Kingdom,Consumer Discretionary,A,sold,Fully exit Russia after selling its operations,,,,,,,
Asda,United Kingdom,Consumer Staples,A,other,remove products from Russia,,,,,,,
Asics,Japan,Consumer Discretionary,A,suspended,Ceased all business operations in Russia,,,,,,,
Aspo,Finland,Industrials,A,sold,Exited Russia Market,,,,,,,
Assicurazioni Generali,Italy,Financials,A,sold,exit Russia completely,,,,,,,
Atos,France,Information Technology,A,other,exit from Russia,,,,,,,
Atria,Finland,Consumer Staples,A,other,exit business in Russia,,,,,,,
Autogrill,Italy,Consumer Discretionary,A,sold,Fully exit Russia after selling its operations,,,,,,,
Avantor,United States,Health Care,A,other,"Discontinued all sales into Russia, direct and indirect",,,,,,,
Avaya,United States,Information Technology,A,other,Left Russia,,,,,,,
Avery Dennison,United States,Materials,A,other,exit Russian operations,,,,,,,
Avid,United States,Information Technology,A,other,"cease all sales and support to all customers, users and resellers in Russia &amp; Belarus",,,,,,,
Aviva,United Kingdom,Financials,A,sold,Exited all equity and debt positions,,,,,,,
BASF SE,Germany,Materials,A,sold,wind down Russian operations,,,,,,,
BBDO,United States,Industrials,A,other,exit Russian operations,,,,,,,
BSI,United Kingdom,Industrials,A,suspended,Fully stop all business in Russia,,,,,,,
Badoo,United Kingdom,Industrials,A,suspended,Fully stop all business in Russia,,,,,,,
Baker Botts,United States,Industrials,A,sold,wind down Moscow office,,,,,,,
Baker Hughes,United States,Energy,A,other,no longer provide engineering services to Russian LNG developers,,,,,,,
Baker McKenzie,United States,Industrials,A,other,cease operations in Russia and transfer them to an independent entity,,,,,,,
Baker Tilly,United Kingdom,Financials,A,sold,gradual wind down of operations in Russia,,,,,,,
Bakoma,Poland,Consumer Staples,A,sold,withdraw from Russia completely prior to aggression,,,,,,,
Ball Corporation,United States,Materials,A,sold,Fully exited Russia,,,,,,,
BaseTrack,Estonia,Information Technology,A,sold,Fully exit Russia after selling its operations,,,,,,,
Beam Suntory,Japan,Consumer Staples,A,sold,Fully exit Russia after selling its operations,,,,,,,
Bellona,Norway,NGO,A,sold,Fully exit Russia after selling its operations,,,,,,,
Bentley Systems,United States,Information Technology,A,other,Ended operations in Russia,,,,,,,
Bestseller,Denmark,Consumer Discretionary,A,suspended,stop all sales to Russia through distributors,,,,,,,
Bet356,United Kingdom,Consumer Discretionary,A,suspended,Fully stop all business in Russia,,,,,,,
BioMar,Danish,Industrials,A,other,No longer doing business in Russia,,,,,,,
BlackRock,United States,Financials,A,other,curtail Russian access to capital markets,,,,,,,
Blockchain.com,Luxembourg,Information Technology,A,suspended,Fully stop all business in Russia,,,,,,,
Bolt,Estonia,Information Technology,A,other,Liquidating remaining entity,,,,,,,
