name,country,industry,grade_latest,grade_dec2022,action_type,in_dec2022_snapshot,action_text
AAK,Sweden,Consumer Staples,A,B,sold,yes,Exited Russia.
AB InBev,Belgium,Consumer Staples,A,A,sold,yes,sold stake in joint ventures and suspend using its license in Russia
ABB,Switzerland,Industrials,A,C,sold,yes,Exited Market
AECOM,United States,Industrials,A,A,sold,yes,exit Russia operations
AFRY,Sweden,Industrials,A,,sold,no,Fully exit Russia after selling its operations
AG Barr,United Kingdom,Consumer Staples,A,A,sold,yes,cut ties with Russian market
AP7,Sweden,Financials,A,A,sold,yes,sell off  all of Russian shares
APG,Netherlands,Financials,A,A,sold,yes,sell all Russian investment
AVL,Austria,Industrials,A,F,suspended,yes,"Stopped on business, initiated divestment process"
Aarsleff,Danish,Industrials,A,,sold,no,Withdrew from Russia
Accenture,Ireland,Information Technology,A,A,sold,yes,exiting Russia completely
Accountor,Finland,Information Technology,A,A,sold,yes,withdrawal from Russia
Acerinox,Spain,Materials,A,A,suspended,yes,Ceased Operations
Acronis,Switzerland,Information Technology,A,A,suspended,yes,suspend operations in Russia
Adenza,United Kingdom,Information Technology,A,A,other,yes,discontinue all operations in Russia
Aegon,Netherlands,Financials,A,A,sold,yes,Sold exposure
AerCap,Ireland,Industrials,A,A,other,yes,cease leasing activity with Russian airlines
Agilent,United States,Information Technology,A,,suspended,no,Fully stop all business in Russia
Agrokoncernas,Lithuania,Industrials,A,,suspended,no,Fully stop all business in Russia
Aimbridge | Interstate Hotels,United States,Consumer Discretionary,A,F,suspended,yes,Suspended all operations
Air Lease,United States,Industrials,A,,suspended,no,Fully stop all business in Russia
Air Liquide,France,Materials,A,D,sold,yes,Withdrawal from Russia
Air Products,United States,Materials,A,A,sold,yes,full divestiture from Russia
AirBaltic,Latvia,Industrials,A,A,sold,yes,leave Russian market until further notice
Akvelon,United States,Information Technology,A,A,sold,yes,close offices in Moscow
Alcoa,United States,Materials,A,A,other,yes,"cease buying raw materials from, or selling our products to, Russian businesses"
Aldi,Germany,Consumer Staples,A,A,other,yes,remove products from Russia
Allegro,Poland,Consumer Discretionary,A,A,other,yes,bans Russian &amp; Belarussian products
Allen &amp; Overy,United Kingdom,Industrials,A,,sold,no,wind down Russian operations
AmRest,Spain,Consumer Discretionary,A,C,sold,yes,Fully exit Russia after selling its operations
Amedia,Norway,Communication Services,A,,sold,no,Fully exit Russia after selling its operations
American Airlines,United States,Industrials,A,A,other,yes,end agreements with Russian airlines
Ametek,United States,Industrials,A,A,other,yes,closing TPM Russia subsidiary due to war in Ukraine
Amsted Rail,United States,Industrials,A,A,sold,yes,exit Russia completely
Amway,United States,Consumer Staples,A,B,suspended,yes,Ceased operations in Russia
Ansell,Australia,Industrials,A,,sold,no,Fully exit Russia after selling its operations
Arconic,United States,Materials,A,D,sold,yes,Exited Russia
Arendt &amp; Medernach,Luxembourg,Industrials,A,,suspended,no,pull out of Russia; close Russian office and suspend select Russian client engagements
Arrival,United Kingdom,Consumer Discretionary,A,,sold,no,Fully exit Russia after selling its operations
Asda,United Kingdom,Consumer Staples,A,A,other,yes,remove products from Russia
Asics,Japan,Consumer Discretionary,A,F,suspended,yes,Ceased all business operations in Russia
Aspo,Finland,Industrials,A,C,sold,yes,Exited Russia Market
Assicurazioni Generali,Italy,Financials,A,A,sold,yes,exit Russia completely
Atos,France,Information Technology,A,A,other,yes,exit from Russia
Atria,Finland,Consumer Staples,A,A,other,yes,exit business in Russia
Autogrill,Italy,Consumer Discretionary,A,,sold,no,Fully exit Russia after selling its operations
Avantor,United States,Health Care,A,,other,no,"Discontinued all sales into Russia, direct and indirect"
Avaya,United States,Information Technology,A,C,other,yes,Left Russia
Avery Dennison,United States,Materials,A,A,other,yes,exit Russian operations
Avid,United States,Information Technology,A,A,other,yes,"cease all sales and support to all customers, users and resellers in Russia &amp; Belarus"
Aviva,United Kingdom,Financials,A,A,sold,yes,Exited all equity and debt positions
BASF SE,Germany,Materials,A,A,sold,yes,wind down Russian operations
BBDO,United States,Industrials,A,A,other,yes,exit Russian operations
BSI,United Kingdom,Industrials,A,,suspended,no,Fully stop all business in Russia
Badoo,United Kingdom,Industrials,A,,suspended,no,Fully stop all business in Russia
Baker Botts,United States,Industrials,A,A,sold,yes,wind down Moscow office
Baker Hughes,United States,Energy,A,B,other,yes,no longer provide engineering services to Russian LNG developers
Baker McKenzie,United States,Industrials,A,A,other,yes,cease operations in Russia and transfer them to an independent entity
Baker Tilly,United Kingdom,Financials,A,A,sold,yes,gradual wind down of operations in Russia
