Acquirer Financial Adviser,Acquirer Legal Adviser,Acquirer Termination Fee,Action ID,Amendment Date,Announce Date,Announced Equity Value (mil.),Announced Total Value (mil.),Cash Terms,Completion/Termination Date,Contingency Payment (Cash),Currency of Deal,Current/Completed Total Value,Deal Attributes,Deal Description,Deal Status,Deal Type,Has Contingency Payment,Merger Agreement Date,Nature of Bid,Net Debt,Payment Type,Percent Owned,Percent Sought,Proposal Date,Proposed Deal Type,Seller Financial Adviser,Seller Legal Adviser,Stock Terms,Target Financial Adviser,Target Legal Adviser,Target Termination Fee,Acquirer City of Domicile,Acquirer Country/Region,Acquirer Country/Region ISO Code,Acquirer Industry Sector,Acquirer Name,Acquirer Number of Employees,Acquirer SIC Name,Current Acquirer SIC Code,Current Seller SIC Code,Current Target SIC Code,Seller Country/Region,Seller Country/Region ISO Code,Seller Industry Sector,Seller Name,Seller SIC Name,Target City of Domicile,Target Country/Region,Target Country/Region ISO Code,Target Industry Group,Target Industry Sector,Target Industry Subgroup,Target Name,Target Number of Employees,Target SIC Name,EqV/Book Val,EqV/EBITDA,EqV/Rev,EqV/Total Assets,TV/Book Val,TV/EBITDA,TV/Rev,TV/Total Assets,Acquirer Shareholders,Central Bank of Russia,EC: European Commission,Federal Antimonopoly service of Russian Federation: FAC,Foreign Investment Commission,Ministry of Finance,Russian Ministry on Antitrust Policy,Seller Board of Directors,Target Shareholders
,, ,75469374, ,2013-03-26,N/A,N/A,N/A,2015-04-20,,RUB,N/A,"Company Takeover, Additional Stake Purchase",Inter RAO UES PJSC acquired Mosenergosbyt PJSC. The transaction was announced on 3/26/2013 and completed on 4/20/2015. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,50.900002,20.5, ,,,, ,,, ,Moscow,Russia,RU,Utilities,Inter RAO UES PJSC,634,ELECTRIC SVC,4911, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Utilities,Utilities,Electric Utilities,Mosenergosbyt PJSC,3897, , , , , , , , , ,,,,2013-03-26,,,,,
,, ,84308377, ,2013-11-28,N/A,N/A,N/A,2015-06-03,,RUB,N/A,Company Takeover,Pharmacy Chain 36.6 PJSC acquired Apteka AVE OOO. The transaction was announced on 11/28/2013 and completed on 6/3/2015. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Stock,0,100, ,,,, ,,, ,Moscow,Russia,RU,Consumer Staples,Pharmacy Chain 36.6 PJSC,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Health Care,Health Care,Health Care Facilities & Svcs,Apteka AVE OOO,, , , , , , , , , ,,,,,,,,,
,, ,85110642, ,2009-09-14,N/A,N/A,N/A,2023-05-22,,USD,N/A,Company Takeover,Promsvyazkapital ZAO acquired Mediaholding PJSC. The transaction was announced on 9/14/2009 and completed on 5/22/2023. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,0,100, ,,,, ,,, ,Astrakhan,Russia,RU,Industrials,Promsvyazkapital ZAO,,CONSULTING SVC,8742, ,N.A.,N.A., ,N.A.,, ,Moscow,Russia,RU,Media,Communications,Entertainment Content,Mediaholding PJSC,, , , , , , , , , ,,,,,,,,,
,, ,86993709,2014-04-17,2014-02-04,194.48,194.48,44.0/sh.,2015-07-01,,RUB,122.46,"Company Takeover, Additional Stake Purchase, Tender Offer",PhosAgro PJSC acquired PhosAgro-Cherepovets OJSC for RUB 6807.29M. The transaction was announced on 2/4/2014 and completed on 7/1/2015.,Completed,M&A,No, ,Friendly,0,Cash,87.610001,12.39, ,,,, ,,, ,Moscow,Russia,RU,Materials,PhosAgro PJSC,, ,N.A., ,1479,N.A., ,N.A.,, ,Cherepovets,Russia,RU,Materials,Materials,Chemicals,PhosAgro-Cherepovets OJSC,,CHEM/FERT MNG, , , , , , , , ,,,,,,,,,
,, ,87818379, ,2014-01-23,0.78,0.78,1.01/sh.,2022-12-14,,RUB,0.41,"Company Takeover, Squeeze Out, Cross Border, Additional Stake Purchase, Tender Offer, Going Private",Gruppa Kompaniy Renova AO acquired Khimprom PJSC for RUB 26.58M. The transaction was announced on 1/23/2014 and completed on 12/14/2022.,Completed,M&A,No, ,Friendly,0,Cash,96.18,3.82, ,,,, ,,, ,Moscow,Russia,RU,Financials,Gruppa Kompaniy Renova AO,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Novocheboksarsk,Russia,RU,Materials,Materials,Chemicals,Khimprom PJSC,, ,0.38,2.24,0.12,0.12,0.38,2.24,0.12,0.12,,,,,,,,,
,, ,91443791, ,2014-05-20,N/A,N/A,N/A,2015-04-09,,RUB,N/A,"Majority Purchase, Additional Stake Purchase",EuroChem Mineral & Chemical Co OJSC acquired Astrakhan Oil & Gas Co. The transaction was announced on 5/20/2014 and completed on 4/9/2015. Financial terms of the transaction are undisclosed.,Completed,M&A,No, ,Friendly,0,Undisclosed,20.1,54.900002, ,,,, ,,, ,Moscow,Russia,RU,Materials,EuroChem Mineral & Chemical Co OJSC,, ,N.A., ,N.A.,N.A., ,N.A.,, ,Astrakhan,Russia,RU,Oil & Gas,Energy,Oil & Gas Supply Chain,Astrakhan Oil & Gas Co,, , , , , , , , , ,,,,,,,,,
Bain & Company,, ,91497396, ,2014-05-21,N/A,N/A,N/A,2015-02-21,,RUB,N/A,Company Takeover,"On 05/21/14, Aerofloat hired a financial advisor to evaluate possible acquisition of competitor UTair Aviation, according to people familiar with the matter.",Withdrawn,M&A,No, ,Friendly,0,Undisclosed,0,100,2014-05-21,Strategic Alt Review,,, ,,, ,Moscow,Russia,RU,Industrials,Aeroflot PJSC,, ,N.A., ,4512,N.A., ,N.A.,, , ,Russia,RU,Industrial Services,Industrials,Transportation & Logistics,UTair Aviation PJSC,,SCHED AIR TRAN, , , , , , , , ,,,,,,,,,
,, ,92950219, ,2014-06-26,N/A,N/A,N/A,2015-04-07,,RUB,N/A,Company Takeover,"Russian Railways' subsidiary TransTelecom in talks to fully acquire 4G provider Antares, citing two people familiar with talks that it did not identify, Vedomosti reports. With no further information on this proposal, the transaction has been withdrawn.",Withdrawn,M&A,No, ,Friendly,0,Stock,0,100,2014-06-26,Negotiation,,, ,,, ,Moscow,Russia,RU,Industrials,Russian Railways JSC,, ,N.A., ,N.A.,N.A., ,N.A.,, , ,Russia,RU,Tech Hardware & Semiconductors,Technology,Technology Hardware,Antares JSC,, , , , , , , , , ,,,,,,,,,
,, ,97580852, ,2014-10-15,N/A,N/A,N/A,2015-08-09,,USD,N/A,"Company Takeover, Cross Border","On 10/15/2014, Mobile Telesystems OJSC was studying the possible acquisition of Dalgeokom OOO according to Kommersant reports. This was then confirmed by the MTS spokesman. Withdrawn on 09/08/2015 due to no further updates on proposed transaction.",Withdrawn,M&A,No, ,Friendly,0,Undisclosed,0,100,2014-10-15,,,, ,,, ,Moscow,Russia,RU,Communications,Mobile TeleSystems PJSC,60388, ,N.A.,,4813,Sweden,,Communications,"Modern Times Group MTG AB,Private Investor",,N.A,Russia,RU,Telecommunications,Communications,Telecommunications,Dalgeokom OOO,,PHONE NO  RADI, , , , , , , , ,,,,,,,,,
,, ,97935098, ,2015-04-16,N/A,N/A,N/A,2015-04-16,,USD,N/A,"Cross Border, Minority Purchase",On 04/16/20151 Gunvor Group Ltd sold its 30% stake in MC Kolmar LLC to a company controlled by Andrei Bokarev. No financial terms were disclosed. On 10/26/2014 the FT reported that Gunvor Group Ltd is seeking to sell its assets in Russia.,Completed,INV,No, ,Friendly,0,Undisclosed,0,30,2014-10-27,On the Block,,, ,,, ,,Russia,,N.A.,Private Investor,,,,N.A.,8111,Switzerland,CY,Energy,Gunvor Group Ltd, , ,Russia,RU,Industrial Services,Industrials,Commercial Support Services,UK Kolmar OOO,,LEGAL SVC, , , , , , , , ,,,,,,,,,
