Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status
"M&A",2012/10/22,"Rosneft Holding Ltd","Rosneft Oil Co PJSC","Gruppa Kompaniy Renova AO,Access Industries LLC,Alfa Finance Holdings SA",28000.00,"Cash", ,"Completed"
"INV",2012/10/22,"Rosneft Holding Ltd","Rosneft Oil Co PJSC","BP PLC",26379.77,"Cash and Stock", ,"Completed"
"M&A",2006/12/21,"Sakhalin Energy Investment Co Ltd","Gazprom PJSC","Mitsubishi Corp,Mitsui & Co Ltd,Shell PLC",7450.00,"Cash", ,"Completed"
"INV",2018/5/4,"Rosneft Oil Co PJSC","Qatar Investment Authority","Glencore PLC",4426.31,"Cash",2.49,"Completed"
"M&A",2007/7/26,"Gazprom Neft PJSC","Gazprom PJSC","Eni SpA",4200.00,"Undisclosed",4.06,"Completed"
"INV",2012/8/15,"VEON Ltd","Alfa Group ZAO","Orascom TMT Investments Sarl",3600.00,"Cash",2.49,"Completed"
"INV",2010/7/28,"LUKOIL PJSC","LUKOIL PJSC","ConocoPhillips",3442.01,"Cash",3.03,"Completed"
"M&A",2013/11/20,"Arctic Russia BV","Yamal Development LLC","Eni SpA",2940.00,"Cash", ,"Completed"
"INV",2016/7/29,"Yuzhno Russkoye Gas","Potential Buyer","E.ON SE",2500.00,"Cash", ,"Withdrawn"
"M&A",2013/4/1,"Samara-Nafta ZAO","LUKOIL PJSC","Hess Corp",2050.00,"Undisclosed", ,"Completed"
"M&A",2017/12/1,"Yuzhno Russkoye Gas Field","OMV AG","Uniper SE",2046.64,"Cash", ,"Completed"
"M&A",2018/12/4,"Azeri Chirag Gunashli project","Potential Buyer","Exxon Mobil Corp",2000.00,"Cash", ,"Withdrawn"
"INV",2017/3/5,"Severneftegazprom OAO,Gazprom YRGM Development ZAO","OMV AG","Uniper SE",1850.00,"Cash", ,"Completed"
"INV",2013/9/24,"Arctic Russia BV","Rosneft Oil Co PJSC","Enel SpA",1800.00,"Undisclosed", ,"Completed"
"M&A",2011/10/18,"Russian and Ukrainian Beer Businesses","Anadolu Efes Biracilik Ve Malt Sanayii AS","Abi Sab Group Holding Ltd",1601.72,"Cash", ,"Completed"
"M&A",2009/12/11,"LUKARCO BV","LUKOIL PJSC","BP PLC",1600.00,"Cash", ,"Completed"
"M&A",2009/5/15,"SeverEnergia OOO","Gazprom PJSC","Eni SpA,Enel SpA",1600.00,"Cash", ,"Completed"
"M&A",2022/8/12,"Mondi Syktyvkar OAO","Augment Investments Ltd","Mondi PLC",1545.65,"Cash", ,"Terminated"
"M&A",2022/5/19,"Sakhalin-II oil & gas project","DSV A/S","Shell PLC",1520.59,"Cash", ,"Withdrawn"
"M&A",2014/9/16,"VK.com Ltd","VK IPJSC","Blesmir Development Ltd,Palagon Ltd",1470.00,"Cash", ,"Completed"
"INV",2012/4/24,"Telecominvest OJSC","AF Telecom Holding Ltd","Telia Co AB",1450.00,"Cash", ,"Completed"
"INV",2012/11/6,"Nortgaz ZAO","Novatek PJSC","REDI Holdings",1375.00,"Cash", ,"Completed"
"M&A",2015/10/23,"KEX eCommerce LLC","Naspers Ltd","Kinnevik AB,Baring Vostok Capital Partners Ltd/Russia (Fund: Baring Vostok Private Equity Fund IV LP),Northzone Ventures Sweden AB (Fund: Northzone Ventures VI),Accel Partners LP (Fund: Accel London III LP),Unknown Seller",1200.00,"Cash", ,"Completed"
"M&A",2025/10/29,"2M sq mtr warehouse/Moscow","Potential Buyer","Raven Property Group Ltd",1133.33,"Cash", ,"Proposed"
"M&A",2012/10/4,"Corber Enterprises Ltd","Evraz PLC","Adroliv Investments Ltd",1086.44,"Cash and Stock", ,"Completed"
"M&A",2017/11/13,"Russian asset portfolio","Fort Group OOO","CPI Europe AG",1050.84,"Cash", ,"Completed"
"INV",2017/10/31,"MegaFon PJSC","Gazprombank JSC","Telia Co AB",1035.86,"Cash",2.47,"Completed"
"M&A",2016/7/29,"Opal & BBL & Transitgas Pipelines","Potential Buyer","E.ON SE",1026.44,"Cash", ,"Withdrawn"
"INV",2024/3/28,"Sakhalin Energy Investment Co Ltd","Gazprom PJSC","Shell PLC",1023.84,"Cash", ,"Completed"
"M&A",2012/12/11,"White Square business center","O1 Properties Ltd","VTB Capital JSC,TPG Holdings LLC,AIG/Lincoln Russia",1000.00,"Cash", ,"Completed"
"M&A",2023/9/21,"Syktyvkarsky Forestry Enterprise JSC","Sezar Group OOO","Mondi PLC",834.40,"Cash", ,"Completed"
"M&A",2006/5/15,"Oil Exploration and Production Business","LUKOIL PJSC","Marathon Oil Corp",787.00,"Cash", ,"Completed"
"INV",2007/5/14,"Vimpel-Communications PJSC","Telenor ASA","ING Groep NV",744.86,"Cash", ,"Completed"
"INV",2019/4/1,"Lenta International Co PJSC","Severgroup CJSC","European Bank for Reconstruction & Development,TPG Capital LP/US (Fund: TPG Partners VI LP)",729.00,"Cash",3.22,"Completed"
"M&A",2021/8/31,"MLU BV","Nebius Group NV","Uber Technologies Inc",702.50,"Cash", ,"Completed"
"M&A",2017/4/11,"Kondaneftegaz LLC","Rosneft Oil Co PJSC","Siberian Energy Group Inc",700.80,"Cash", ,"Completed"
"INV",2020/6/11,"Yandex.Taxi LLC","Nebius Group NV","Uber Technologies Inc",700.00,"Cash", ,"Completed"
"M&A",2016/1/13,"Russia telecom towers","Russian Towers OOO","VEON Ltd",700.00,"Cash", ,"Withdrawn"
"M&A",2023/5/4,"Russian business activities/Henkel AG & Co KGaA","Private Investor","Henkel AG & Co KGaA",690.66,"Cash", ,"Completed"
"INV",2001/1/29,"LUKOIL PJSC","Unnamed Buyer","BP PLC",656.57,"Undisclosed",1.91,"Completed"
"M&A",2009/5/26,"Yamal LNG OAO","Novatek PJSC","Volga Group/The",650.00,"Cash", ,"Completed"
"M&A",2022/6/16,"EL5-ENERO PJSC","LUKOIL PJSC,Gazprombank JSC","Enel SpA",609.28,"Cash",6.63,"Completed"
"M&A",2005/1/3,"Interbrew Plc","Anheuser-Busch InBev SA/NV","Alfa Group ZAO,Sun Trade International Ltd",591.53,"Cash",3.10,"Completed"
"INV",2007/11/28,"Taas-Yuryakh Neftegazodobycha OOO","Urals Energy PCL","Finfund Ltd",590.00,"Cash and Stock", ,"Completed"
"M&A",2011/7/27,"Azeri Chirag Gunashli project","State Oil Co of the Azerbaijan Republic","BP PLC",585.00,"Cash", ,"Completed"
"INV",2020/7/31,"Highland Gold Mining Ltd","Fortiana Holdings Ltd","Private Investor,Denalot Worldwide Ltd,NEW Evolution Trading Ltd,Matteson Overseas Ltd",572.79,"Cash",6.79,"Completed"
"M&A",2022/9/22,"Beverage packaging unit/Russia","DKK Zao","Ball Corp",530.00,"Cash", ,"Completed"
"INV",2017/8/11,"United Co RUSAL International","Zonoville Investments Ltd","Dimosenco Holdings Co Ltd",503.89,"Undisclosed",4.26,"Pending"
"M&A",2021/1/13,"Korund-Tsiana AO","GEM Capital AG,Industry Partners Corp","VTB Capital Asset Management JSC (Fund: Regional Venture - Small Enterprises of Research & Tech Sector of Nizhegorodsky),Petrochemical Holding Gmbh",500.00,"Cash", ,"Completed"
"M&A",2014/7/13,"Land drilling & workover assets in Russia & Venezuela","Rosneft Oil Co PJSC","Weatherford International PLC",500.00,"Cash", ,"Completed"
"INV",2010/8/12,"Wimm-Bill-Dann Foods OJSC","Wimm-Bill-Dann Foods OJSC","Danone SA",470.00,"Undisclosed",8.26,"Completed"
"INV",2007/10/25,"EL5-ENERO PJSC","Enel SpA","Credit Suisse Group AG",435.35,"Cash",62.16,"Completed"
"M&A",2008/6/3,"Corbina Telecom","Vimpel-Communications PJSC","Inure Enterprises Ltd",404.00,"Cash", ,"Completed"
"M&A",2022/8/29,"Russian plant/Nokian Renkaat Oyj","Tatneft PJSC","Nokian Renkaat Oyj",400.60,"Cash", ,"Completed"
"INV",2013/9/11,"Borets International Ltd","Tangent Fund Ltd","Weatherford International PLC",400.00,"Cash and Debt", ,"Completed"
"M&A",2002/2/1,"Bravo International","Heineken NV","Capital Group Cos Inc/The",399.99,"Cash", ,"Completed"
"M&A",2000/6/15,"Liggett-Dukat ZAO","Gallaher Group Ltd","Vector Group Ltd",398.50,"Cash and Debt", ,"Completed"
"INV",2007/8/17,"Rosseti Lenenergo PJSC","Unified Energy System OAO,VTB Bank PJSC,Integrated Energy Systems ZAO","Fortum Oyj",398.07,"Undisclosed", ,"Completed"
"INV",2006/6/20,"UniCredit Bank AO","UniCredit SpA","Nordea Bank Abp",395.00,"Cash", ,"Completed"
"M&A",2008/3/11,"DTV Group","CTC Media Inc","Modern Times Group MTG AB",395.00,"Cash", ,"Completed"
"M&A",2008/8/4,"Business Operations in Europe","Meda AB","Bausch Health Americas Inc",392.00,"Cash", ,"Completed"
"INV",2011/8/3,"Minudobreniya OAO","Laguz Management Ltd","Yara International ASA",390.00,"Undisclosed", ,"Completed"
"M&A",2022/10/6,"Russian operations/Sylvamo","Pulp Invest LLC","Sylvamo Corp",390.00,"Cash", ,"Completed"
"M&A",2009/8/9,"Kes-Multienergetika ZAO","Permenergosbyt PJSC","Turlin Management Ltd",382.89,"Cash", ,"Completed"
"INV",2012/2/15,"VEON Ltd","Telenor ASA","Orascom TMT Investments Sarl",374.40,"Cash",0.40,"Completed"
"M&A",2017/8/21,"Portfolio of real estate/Russia","Potential Buyer","Atrium European Real Estate Ltd",341.71,"Cash", ,"Withdrawn"
"M&A",2022/4/5,"Kupol mine/Russia,Udinsk project/Russia","Highland Gold Mining Ltd","Kinross Gold Corp",340.00,"Cash", ,"Completed"
"M&A",2012/8/15,"Silver City/Moscow","O1 Properties Ltd","Evans Randall Investment Management Ltd",333.00,"Cash", ,"Completed"
"INV",2003/3/12,"Mobile TeleSystems PJSC","Sistema PJSFC","Deutsche Telekom AG",330.72,"Cash",4.89,"Completed"
"M&A",2005/11/22,"SeverTEK ZAO","LUKOIL PJSC","Neste Oyj",321.50,"Cash", ,"Completed"
"M&A",2024/12/3,"Russian business/Carlsberg AS","Private Investor","Carlsberg AS",320.62,"Cash", ,"Withdrawn"
"M&A",2008/4/28,"National Logistics Co","Itella Information Oy","Citigroup Inc,RosEvroGroup,Citi Venture Capital International (Fund: TRG Growth Partnership LP)",312.82,"Cash", ,"Completed"
"M&A",2012/11/22,"EvrazTrans OOO","NefteTransServis ZAO","Evraz PLC",303.06,"Cash", ,"Completed"
"INV",2015/9/22,"Solidcore Resources PLC","Solidcore Resources PLC","Sumeru Gold BV",300.00,"Cash",5.76,"Completed"
"M&A",2007/7/11,"Peterstar ZAO","PromSvyazCapital AO","First National Holding SA",281.70,"Cash", ,"Completed"
"M&A",2013/2/4,"Russian Business","Ikea Group Corp","PCF GmbH",270.70,"Cash", ,"Completed"
"INV",2008/5/7,"EL5-ENERO PJSC","European Bank for Reconstruction & Development","Enel SpA",269.29,"Cash",40.80,"Completed"
"M&A",2007/7/5,"Aquavision LLC","Coca Cola Hellenic Bottling Co SA","Health Tech Corp Ltd",260.40,"Cash", ,"Completed"
"M&A",2011/2/28,"Caspian Sea Ventures International Ltd","Eurasia Drilling Co Ltd","Transocean Ltd",260.00,"Cash", ,"Completed"
"INV",2018/3/26,"GEFCO SA","Potential Buyer","Peugeot SA",250.00,"Cash", ,"Withdrawn"
"M&A",2011/2/25,"BM Bank AO","VTB Bank PJSC","Goldman Sachs Group Inc/The",247.12,"Cash", ,"Completed"
"M&A",2007/8/13,"Tele2 Irkutsk","Vimpel-Communications PJSC","Tele2 AB",233.90,"Cash", ,"Completed"
"M&A",2022/6/28,"Ay Eych Pi Applayenses OOO,Whirlpool RUS LLC","Arcelik AS","Whirlpool Corp",231.51,"Undisclosed", ,"Completed"
"M&A",2008/12/11,"BP-branded filling stations","RN Holding OAO","Sibir Energy Ltd",230.04,"Cash", ,"Completed"
"M&A",2022/5/19,"Operations facility/Russia","VSMPO-AVISMA Corp PJSC","Arconic Corp",230.00,"Cash", ,"Completed"
"M&A",2013/1/4,"Kraun Investments OOO","AFI Development PLC","Super Passion Ltd",227.50,"Cash", ,"Completed"
"M&A",2013/6/4,"Metropolis shopping center","California Public Employees' Retirement System","Morgan Stanley Real Estate",225.00,"Cash", ,"Completed"
"M&A",2018/12/28,"Pharmaceutical Enterprise Obolenskoe JSC","VTB Bank PJSC,Management Group,Sistema PJSFC","Alvansa Ltd",222.89,"Cash", ,"Completed"
"M&A",2002/2/28,"Arctic Gas Co OAO","NK YUKOS OAO","Harvest Natural Resources Inc",220.00,"Undisclosed", ,"Completed"
"M&A",2010/7/16,"MultiRegion ZAO","Mobile TeleSystems PJSC","Cavolo Trading Ltd",217.90,"Undisclosed", ,"Completed"
"INV",2012/10/30,"VEON Ltd","Alfa Group ZAO","Bertofan Investments Ltd",217.54,"Undisclosed",0.38,"Completed"
"M&A",2005/2/15,"Peterstar ZAO","ING Groep NV,First National Holding SA,Emergent Telecom Ventures SA","MIG LLC",215.00,"Cash", ,"Completed"
"M&A",2019/8/6,"Chulbatkan Development Project/N-Mining Ltd","Kinross Gold Corp","N-Mining Ltd",213.13,"Cash and Stock", ,"Completed"
"M&A",2018/2/16,"Building & home improvement store properties","Leroy Merlin SA/France","Kesko Oyj",212.88,"Cash", ,"Pending"
"INV",2008/4/4,"Serov","Eurasian Natural Resources Corp Ltd","Chesswood Group Ltd,Industrial Metals Technology Ltd,Blackmore Holdings Ltd,Prentice Holdings Ltd,Cretown Corporate Advisory BV",210.00,"Cash", ,"Completed"
"M&A",2020/6/11,"Dublgis OOO","O2O Holding LLC","Baring Vostok Capital Partners Ltd/Russia (Fund: Baring Vostok Private Equity Fund V LP),RTP Global",204.63,"Cash", ,"Completed"
"INV",2025/12/29,"Selectel Co Ltd","Catalytic People IPJSC","Moscow Exchange MICEX-RTS PJSC,LVL1 Management Ltd",204.00,"Cash",16.38,"Completed"
"INV",2017/7/12,"Cherkizovo Group PJSC","Private Investor","Prosperity Capital Management SICAV - Russian Prosperity Fund Luxembourg",200.20,"Cash",3.74,"Completed"
"M&A",2001/7/27,"Russian/Baltic bottling ops","Coca Cola Hellenic Bottling Co SA","Coca-Cola Co/The",200.00,"Undisclosed", ,"Completed"
