name,country,industry,grade_latest,patents_total,api_status
AAK,Sweden,Consumer Staples,A,796,ok
AB InBev,Belgium,Consumer Staples,A,19,ok
ABB,Switzerland,Industrials,A,106188,ok
AECOM,United States,Industrials,A,986,ok
AFRY,Sweden,Industrials,A,30,ok
AG Barr,United Kingdom,Consumer Staples,A,0,ok
AP7,Sweden,Financials,A,0,ok
APG,Netherlands,Financials,A,697,ok
AVL,Austria,Industrials,A,14859,ok
Aarsleff,Danish,Industrials,A,186,ok
Accenture,Ireland,Information Technology,A,15642,ok
Accountor,Finland,Information Technology,A,0,ok
Acerinox,Spain,Materials,A,66,ok
Acronis,Switzerland,Information Technology,A,779,ok
Adenza,United Kingdom,Information Technology,A,0,ok
Aegon,Netherlands,Financials,A,13,ok
AerCap,Ireland,Industrials,A,0,ok
Agilent,United States,Information Technology,A,30522,ok
Agrokoncernas,Lithuania,Industrials,A,0,ok
Aimbridge | Interstate Hotels,United States,Consumer Discretionary,A,0,ok
Air Lease,United States,Industrials,A,0,ok
Air Liquide,France,Materials,A,46230,ok
Air Products,United States,Materials,A,6555,ok
AirBaltic,Latvia,Industrials,A,0,ok
Akvelon,United States,Information Technology,A,0,ok
Alcoa,United States,Materials,A,8317,ok
Aldi,Germany,Consumer Staples,A,345,ok
Allegro,Poland,Consumer Discretionary,A,5140,ok
Allen &amp; Overy,United Kingdom,Industrials,A,0,ok
AmRest,Spain,Consumer Discretionary,A,0,ok
Amedia,Norway,Communication Services,A,55,ok
American Airlines,United States,Industrials,A,282,ok
Ametek,United States,Industrials,A,2142,ok
Amsted Rail,United States,Industrials,A,1679,ok
Amway,United States,Consumer Staples,A,809,ok
Ansell,Australia,Industrials,A,1898,ok
Arconic,United States,Materials,A,2125,ok
Arendt &amp; Medernach,Luxembourg,Industrials,A,0,ok
Arrival,United Kingdom,Consumer Discretionary,A,427,ok
Asda,United Kingdom,Consumer Staples,A,133,ok
Asics,Japan,Consumer Discretionary,A,3100,ok
Aspo,Finland,Industrials,A,65,ok
Assicurazioni Generali,Italy,Financials,A,0,ok
Atos,France,Information Technology,A,1447,ok
Atria,Finland,Consumer Staples,A,156,ok
Autogrill,Italy,Consumer Discretionary,A,13,ok
Avantor,United States,Health Care,A,597,ok
Avaya,United States,Information Technology,A,11815,ok
Avery Dennison,United States,Materials,A,14072,ok
Avid,United States,Information Technology,A,2208,ok
Aviva,United Kingdom,Financials,A,484,ok
BASF SE,Germany,Materials,A,109699,ok
BBDO,United States,Industrials,A,17,ok
BSI,United Kingdom,Industrials,A,406,ok
Badoo,United Kingdom,Industrials,A,7,ok
Baker Botts,United States,Industrials,A,6,ok
Baker Hughes,United States,Energy,A,64082,ok
Baker McKenzie,United States,Industrials,A,6,ok
Baker Tilly,United Kingdom,Financials,A,6,ok
Bakoma,Poland,Consumer Staples,A,9,ok
Ball Corporation,United States,Materials,A,836,ok
BaseTrack,Estonia,Information Technology,A,0,ok
Beam Suntory,Japan,Consumer Staples,A,1,ok
Bellona,Norway,NGO,A,10,ok
Bentley Systems,United States,Information Technology,A,411,ok
Bestseller,Denmark,Consumer Discretionary,A,0,ok
Bet356,United Kingdom,Consumer Discretionary,A,0,ok
BioMar,Danish,Industrials,A,337,ok
BlackRock,United States,Financials,A,301,ok
Blockchain.com,Luxembourg,Information Technology,A,0,ok
Bolt,Estonia,Information Technology,A,5472,ok
Bonava,Sweden,Real Estate,A,0,ok
Booking,United States,Consumer Discretionary,A,31,ok
Boreo,Finland,Industrials,A,1,ok
Bose,United States,Information Technology,A,11032,ok
Boskalis,Netherlands,Industrials,A,312,ok
Breitling SA,Switzerland,Consumer Discretionary,A,24,ok
Bristol-Myers Squibb,United States,Health Care,A,49913,ok
British American Tobacco,United Kingdom,Consumer Staples,A,14358,ok
British Petroleum (BP),United Kingdom,Energy,A,0,ok
British Standards Institution (BSI),United Kingdom,Industrials,A,0,ok
